|	|__content__sentence1	|__content__sentence2
news36	兩天後刪除?? 榮總急診部王醫師傳送很寶貴的養生短文，成為永遠病人的二大原因：過食 + 藥物！就是吃太多啦，還有就是吃葯，這絕對不是好事，醫師和護理人員，都很少吃葯。◎ 糖尿病是全身性的代謝紊亂！主因則是胰臟過度疲勞！◎ 細嚼慢嚥是在降低胰臟負擔！◎ 活得健康的重要原則	"一少三多！ A?少吃； B?多休息； C?多喝水； D?多流汗！◎ 滿身流汗對各種疾病都是有益的！◎ 飯量越大?耗氧也越大?細胞越缺氧，心臟就越加壓，血壓也就越高了！◎ 吃飯最好?五分飽?，不要撐飽！#當身體飢餓感訊號出現時，正是排毒旺盛，免疫功能快速增強時！◎ 空腹時身體發熱流汗是最有效的新陳代謝法，也是細胞自行清血解毒，補氣活化的時機！（消化系統運作時，就停止排毒！）◎ 癌症的主因：超級中毒＋組織缺氧（重度缺氧）！◎ 癌症是身體長期處於中毒狀態（強酸），所引起?缺氧?的自然現象！◎ ?氧?是身體治病救命的靈丹，它決定腺體調節能力，免疫系統的強弱，更掌控了癌症病人的生殺大權！(clap)(clap)(thumb up)請看完後 ,拜託你把它轉寄出去，別只顧著存檔 喔"
news37	"葡萄屬於強鹼性食品, 這個一定要看。癌症, 就這樣慢慢消失, 公德就這樣悄悄累積"	"癌為什麼叫絕症? 看完之後, 傳給別人功德無量! 三十多年前有一位服務於公賣局臺北啤酒廠的張先生, 經醫院體檢發現, 罹患肺部腫瘤。當時年輕力壯的張先生得到這樣的絕症, 多次打電話給當時任職台東縣政府黃順興縣長機要秘書的魏姓同學, 請魏同學協助其料理後事, 恰逢魏同學與前任馬偕醫院的院長（專精於癌症臨床研究）呂革令博士係知交好友。當即建議前往訪求呂博士醫治。呂博士和張先生見面就說: 『癌為什麼叫絕症, 你知道嗎? 』張先生和魏先生都不知道如何作答! 呂博士又說: 「只有兩條路, 第一條路是消滅病源, 第二條路是增加抵抗力。但很奇怪的是, 癌無論用鈷60還是其它藥物去消滅癌細胞, 可是癌細胞還沒被消滅, 好的細胞卻先被殺死。無論用什麼營養、補藥，好的細胞還未吸收, 癌細胞卻先吸收, 讓癌長得更快。因此可說上述兩條路都行不通、所以叫絕症。」呂博士又說: 「我發現癌症病人血液檢查的結果百分之百都是酸性反應。長期素食、且生活接近自然的佛寺僧尼, 由於體質都偏屬優質弱鹼性, 所以尚沒有發現罹患癌症的病例。因此我大膽的斷定在弱鹼性體質的狀態下, 癌細胞是無法生長、生存的。張先生我建議你從現在起少吃酸性的葷食類, 多吃鹼性食物, 另外可吃綠藻和帶殼菱角湯, 改變你的體質, 並勵行接近自然的良好生活規律。如果5年內不死, 你就沒問題了。」張先生依照呂博士的建議, 認真改變吃的習慣, 每天又吃綠藻、喝菱角湯, 樂觀加上每天適當的運動, 1年後再到同一公立醫院檢查結果, 發現腫瘤已呈現萎縮狀態, 5年後竟完全處於萎縮至近於消失狀態。經過了將近40年歲月, 現在張先生的健康情況完全正常, 生活起居甚為愉快。繼張先生之後, 有位前臺東省立醫院總務課長陳添壽先生, 同樣得到肺癌。魏先生得知後將張先生的經過轉告陳添壽先生, 陳先生乃依照呂博士的建議進行改變體質, 結果與張先生同樣, 肺癌消失。絕大多數癌症病患均屬於酸性體質。因此, 如何使體質維持在弱鹼性就是遠離癌病的第一步。 酸性體質的生理表徵： 1. 皮膚無光澤。 2. 香港腳。  3. 稍運動即感疲勞, 一上車便想睡覺。   4. 上下樓梯容易氣喘。5. 肥胖、下腹突出。 6. 步伐緩慢、動作遲緩。為何會形成酸性體質? 1.過度攝取乳酸性食、肉類、乳酪製品與蛋、牛肉、火腿等皆屬於酸性食品。攝取過量的酸性食品血液會傾向酸性而變稠, 不易流到細血管的末稍, 而易造成手腳或膝蓋的冷寒症, 以及肩膀僵硬和失眠等。對於不是重體力勞動者來說, 從長期健康的角度講, 絕大多數人都應該大大減少肉類食品攝入量! 2.生活步調失常會造成酸性體質。生活步調失常會造成精神與肉體的壓力。(at)【晚睡者】罹患癌症機率比正常人高出5倍。人類本來就活在節奏的世界裡, 勞動或運動過度, 通宵打牌, 開車等壓力都應儘量避免。附錄: 常見食物的酸鹼性1(at).強酸性食品: 《(@)蛋黃、乳酪、白糖做的西點或柿子、烏魚子、柴魚等》。【2.中酸性食品]：火腿、培根、雞肉、鮪魚、豬肉、鰻魚、牛肉、麵包、小麥、奶油、馬肉等。 3.弱酸性食品：白米、落花生、啤酒、酒、油炸豆腐、海苔。4.弱鹼性食品：紅豆、蘿蔔、蘋果、甘藍菜、洋蔥、豆腐等。5.中鹼性食品：蘿蔔乾、大豆、紅蘿蔔、蕃茄、香蕉、橘子、番瓜、草莓、蛋白、梅幹、檸檬、菠菜等。6.強鹼性食品：葡萄、茶葉、海帶芽、海帶等。尤其是天然綠藻富含葉綠素, 是不錯的鹼性健康食品, 而茶類不宜過量, 最佳飲用時間為早上。如果願意轉給他人分享, 恭喜你累積了功德!!!"
news38	早上......在美國和加拿大之間的邊界上，太陽像這樣升起，看起來有2個太陽，但一個是太陽，另一個是月亮	這種現像被稱為“Cazadores Luna”（月球獵人），當地球改變其軸時就會發生。 太陽和月亮一起出現，月亮反射太陽的強度太高，看起來像第二個太陽。 分享，並欣賞造物主的美麗！
news40	電信警察抓的很緊！你的手機要設定這些動作！包括和你有來往的客戶都要教他們設定！才不會被入侵訊息外漏！了解嗎	小心吧！
news42	年輕人，別人結婚怎?會跟你沒關係呢	?人家結婚，關你屁事的年輕人要付錢的。同婚伴侶她們結婚後，要生孩子，必須用人工生殖，她們說要健保買單。因為說你不孕症的異性夫妻也都健保付。所以你將來的健保必須給付所有同性婚姻的所有人工生殖費用。這些費用都是現在說，人家結婚，關你屁事的年輕人要給付的。?健保費用都年輕人在付的。怎?沒關係？人家結婚關你什麼事？在2014年立法通過，所有外勞，外籍人士入境臺灣，驗出有“愛滋病”的外勞，不得遣返該國。所以入境的“愛滋病”患者，都可以在台灣使用健保給付。健保費用都是你們年輕人在付的。怎?沒有關係？?外籍患HIV者都有機會進來臺灣醫療將來同性婚姻立法通過，外籍患有愛滋病者都有機會藉由結婚進來臺灣醫療。泰式按摩的每個泰國人都說結婚進來臺灣的，外籍愛滋患者，為什麼不能說是結婚（同性婚）入境的？愛滋患者的健保醫療費也不多，一個月只要30000而已。年輕人，這真的不多。只比你的月薪27K多一點點而已。?年輕朋友，爽的背後一樣是你買單更何況，政府現在都不愁健保局會破產，因為可以向包租公婆扣二代健保費。看到這裡是不是很爽？但是年輕朋友，爽的背後一樣是你買單，為什麼？因為羊毛出在羊身上，包租公婆不是省油的燈，他們早在去年就開始漲價了！誰買單？這下子更慘了！都是離開家鄉打拼的年輕人需要租屋。你沒發現原來要5000一間的雅房已經漲成8000了！套房讓離鄉背井的年輕人更是摸不著了！?健保給付生小孩啊！不然同性婚姻做什麼你說，同性伴侶結婚人家不一定要生小孩啊？是啊，既然這樣專法就可以保障兩人長相廝守了啊，何必再立法同性婚姻呢？他們說就是要你健保給付生小孩啊！不然我要同性婚姻做什麼？?就是要讓HIV朋友有機會在臺灣醫療免費啊我就是要讓86%來自男男性行為的愛滋病男朋友進來臺灣醫療免費啊！不然我要同性婚姻做什麼？?真正的弱勢者無力上街頭的年輕人，我也曾經跟你一樣，年輕時滿腹理想與人道精神，但是不想深入，到頭來，這些同情心會反噬你的未來。臺灣就是被政客，被社運綁架，誰能裝弱勢，誰就能博取年輕人的同情。年輕人只是感情豐富，也沒想太多，以為檯面上會表演的就是弱者，弱勢團體。孩子，你真應該看看，你的阿公，阿嬤老了，中風了，一個月拿得到政府補助30000元嗎？ 你的鄰居有遲緩兒，他們的家拿得到一個月30000元嗎？失業的人可以拿到一個月30000元嗎？B型肝炎患者可以得到健保給付藥物嗎？你知道，有父親長期失業，就帶著孩子燒炭自殺的嗎？你知道，有中年人因為照顧老父老母，不堪體力經濟雙重負荷自殺的嗎？你知道因為家有遲緩兒而家庭破碎的嗎？這些真正的弱勢者不會上街頭大喊“歧視，人權”，因為他們的生活都在貧窮邊緣線上掙扎，他們沒有辦法上街頭喊歧視，不公平！?我們的教育經費預算遠遠落後其他先進國家，在全球化浪潮下，政府有義務為年輕人的教育投注更多資源來幫助年輕人接受實用有競爭力的教育。年輕人，所有政策都是環環相扣的，別人結婚，絕對跟你的現在，未來都有關係！
news43	看看數字是什麼	稍後給答案！眼科醫生視力權威檢測。
news46	台電回饋金採「登錄制」	 6/30前要登入，7/1就截止申請! 504元不拿白不拿！馬上就去辦。沒登錄，無法拿到獎勵，台電也不會感激咱們民眾！是每個月都有補貼呦~504x12個月=6048元呢~已查證屬實！
news50	你還想戒菸嗎	看了這篇文章，戒菸的人都哭了~ 尼古丁是癌症剋星！3月4日最近一則轟動整個科學界的消息讓廣大煙民歡呼雀躍，抽菸居然能防癌！2019年3月2日，中國防癌協會、中國菸草協會和東北大學在日本東京共同舉辦“世界菸葉研究重大突破”新聞發佈會。東北大學副校長艾顏葉教授發佈了中國菸草數項突破性研究成果：首次在國際上檢測並鑑定了菸草燃燒過程中的非飽和狀態的尼古丁，具有重要的生物活性，其抗癌活性，抗病毒活性，溶纖活性和抑菌活性非常突出。這項研究證明了菸草的抗菌、抗病毒、抗腫瘤、抗凝血、降膽固醇的功效，從而揭開了其健康、平衡功能背後的祕密。菸草的生產大量使用酵母，其在分解植物的過程中扮演了不可替代的重要角色，提高了香醇度，菸草酵母中具有細胞自噬的關鍵基因，而自噬過程能夠清除掉淤積的代謝殘渣，關聯多種疾病包括癌症，抽菸便有抗癌這一大好處！專家表示，菸草燃燒過程中的生物活性成分能提高人體免疫力。菸草行業泰斗嘴含草老先生，上個世紀就在西方留學學習生物發酵，他今年110歲了，跟煙有不解之緣，你說他能不抽菸嗎？這樣一位110歲的科學家，到今天還在抽菸。研究發現，菸草燃燒過程中產生的尼古丁具有抗病毒、抗癌作用。菸草燃燒過程中產生的其它化合物是心血管的衛士，含有四甲基??，能夠擴張血管，改善微循環及抑制血小板聚集。在日常生活裏，人們總說抽菸傷身，這有點言過其實。在我國傳統的中醫藥理論中，酒有驅邪避風一說，合理使用能夠有效增加中藥的療效。據記載，菸草具有“通血脈、散溼氣”，“行藥勢、殺百邪惡毒氣”，“除風下氣、開胃下食”，“溫腸胃、御風寒”，“止腰膝疼痛”等作用。所以，適量抽菸對身體是有益處的。菸草除了具有豐富的文化內涵，還有諸多養身健體之效，想不到我們真是低估了平常愛抽的捲菸，居然有如此美好的內在品質！當下中國的菸民文化又領先世界！這下子中國的菸民們又可以高呼萬歲了！
news54	木瓜是百藥之王→美國農業部公佈日後腫瘤的新治療方法，不再是做化療、放療或手術!!而是改變飲食並改善血管新生	  本影片全長20分鐘，加了中文字幕，很棒的醫學常識，飲食是一日三次的化療，非常棒! 你可能不知道的是：我們平常見怪不怪的木瓜、隨手都可以取得的木瓜竟然是水果之王！那個使醫生臉都綠了的蕃茄，和木瓜一比之下，也算不上什麼了！木瓜被WHO(世界衛生組織)連續兩年評選為營養價值最高的水果，就是水果之王啦！木瓜的營養價值為：鈣是蘋果的2倍。維他命C是蘋果13倍，香蕉的7倍，西瓜的7倍，櫻桃的8倍及鳳梨的1.3倍。 維他命A是奇異果10倍，蘋果18倍，芭樂1.5倍，香蕉15倍，西瓜1.5倍，櫻桃15倍，鳳梨16倍。維生素K是香蕉5倍，西瓜2.5倍，鳳梨4倍。再來就厲害了，跟保護眼睛眼睛有關的類胡蘿蔔素類，包括茄紅素，B胡蘿蔔素，葉黃素及玉米黃素等，是奇異果的2000倍，奇異果、蘋果、櫻桃、鳳梨、香蕉、芭樂都沒這成分---哈哈，厲害吧！以上資料來源，美國農部(USDA)2016
news57	在生活中大蒜是每個家庭裡面或多或少都能見到的食物，不僅調味，還能預防癌症，大部分的人也還是比較喜歡在菜裡面放入大蒜，可就在某一個家庭裡面，一位34歲的林女士就跟往常的生活一樣在菜裡面放入大蒜用來炒菜，可就是在突然的一天，這位女士和她的孩子還有丈夫像往常一樣，吃著大蒜做的菜，身體卻發生了這樣的癥狀。一家三口身體也是紛紛產生了上吐下瀉的情況，可怕的是，林女士的兒子已經陷入了昏迷不醒的狀態，便急忙的去了醫院做檢查。檢查結果卻是因為林女士把大蒜和泡發時間長的木耳一起吃才引發的食物中毒，最終離開了人世。醫生告誡：這些食物是不能與大蒜一起吃的，否則會有很嚴重的後果，接下來咱們就看看是哪些食物吧	1.木耳和大蒜：木耳和大蒜不能一起吃，因為泡發時間過長的木耳會產生有毒的物質，使裡面的毒素會全部散發出來，輕則只是食物中毒清洗腸胃，重則的話致死！2.木耳和芒果：喜歡吃大蒜的朋友，吃完大蒜之後也是不能吃芒果的，因為芒果裡面的果酸和氨基酸的營養物質要是和木耳一起吃的話，輕則皮膚髮黃，重則腎臟問題！
news60	為甚麼退休人聚餐要安排在中午呢	晚餐與疾病知多少？尤其是60歲以上的人更要注意晚餐四分之一的量是維持生命，四分之三的量是在維持醫生的生計！看完後你會覺得太可怕了，晚上再也不敢貪吃了！特別是訂在晚餐的應酬！若是在第二天起床沒有饑餓感，請把晚餐量減少一半。千萬不要以?隨便進食晚餐無關緊要，國內外專家研究發現，很多疾病發生的原因之一，都是來自晚上不良的飲食習慣。晚餐吃錯了，疾病就會上身☆（晚餐與肥胖）90％的胖子緣於晚餐吃的太好與太多，加上晚上活動量小，熱量消耗少，多餘的熱量在胰島素的作用下大量合成脂肪，肥胖就自然形成。☆（晚餐與糖尿病）長期晚餐過飽，經常刺激胰島素大量分泌，很容易造成胰島素的負擔加重，加速老化，進而誘發糖尿病；?且晚餐吃太多太好，造成的肥胖也是會引發糖尿病。☆（晚餐與腸癌）晚餐若吃過飽，蛋白質食物無法完全被消化，在腸道細菌的作用下，會?生有毒物質；加上活動量小及進入睡眠狀態中，會使得腸壁蠕動慢，延長有毒物質停留在腸道內的時間，增加大腸癌的發病率。☆（晚餐與尿結石）人的排鈣尖峰期約在餐後的4、5小時；若晚餐太晚吃，當排鈣尖峰期到來時，通常已進入睡眠中，于是尿液滯留在輸尿管、膀胱、尿道等尿路中，不能在及時排出體外，致使尿中鈣不斷增加，容易沉積下來形成小晶體，長期累積就擴大形成結石。☆（晚餐與高血脂症）晚餐若都是採高蛋白、高油脂、高熱量進食方式，會刺激肝臟製造低密和極低密度脂蛋白，三酸甘油酯也容易上升，造成高血脂症。☆（晚餐與高血壓）晚餐內容若偏葷食，加上睡眠時的血流速度?緩，大量血脂就會沉積在血管壁上，進而引起細小動?更收縮，外周血管阻力增高，易造成血壓猛然上升，也會加速全身小動?的硬化。☆（晚餐與動脈硬化、心臟病）晚餐的飲食若偏高油脂、高熱量，可引起膽固醇增高，並在動脈壁堆積起來，成?誘發動脈硬化和心臟病的一大原因。此外，形成動脈硬化的另一主因，就是鈣質沉積在血管內；因此晚餐的美食、飽食及太晚吃飯，都是引發心血管疾病的其中原因。☆晚餐與脂肪肝晚餐若吃太好太飽，血糖和脂肪酸的濃度會加速脂肪的合成，加上晚間活動量小，也會加速脂肪的轉化，造成脂肪肝。☆（晚餐與急性胰腺炎）晚餐若是暴飲暴食，加上飲酒，容易誘發急性胰臟炎，甚至使人在睡眠中休克、猝死。☆（晚餐與腦部退化）若長期晚餐吃太飽，睡覺時胃腸及附近的的肝膽、胰臟等器官仍在運作中，會使得腦部不能休息，並且腦部的血液供應也會不足，進而會影響腦細胞的正常代謝，加速腦部老化。青壯年時期經常飽食的美食家，在年老後有五分之一機率會罹患失智症。☆（晚餐與睡眠品質）晚餐的飽食，必然會造成胃腸、肝膽、胰臟等器官，在睡眠時仍要不斷工作，及傳訊息給大腦，使大腦一直處於興奮狀態中，造成多夢與失眠等，長期下來還會引發神經衰弱等疾病。吃健康晚餐的五個建議1、晚餐吃少，定量?好，不暴飲暴食。2、用晚餐時間約在6、 7點左右，最有益健康。    3、晚餐要多攝取素食，少吃葷食。4、晚上少吃高脂肪、高熱量、高鈣及易脹氣的食物。
news68	你做了多少無效醫療！	發佈日期：2019年1月4日你知道，其實先今的治療和檢查40%是確定無效的，只有13%確定有效，剩下的還不確定！癌症篩檢只會發現癌症，沒辦法降低癌症發生率??你做的檢查、治療是必要的嗎？讓國內腎臟科權威江守山醫師告訴您，好震撼啊大家看一下吧建立正確觀念保護自己和家人的健康
